n,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1.0,,,,,,,,,,,,
4,1.02,1.56,,,,,,,,,,,
5,1.2,1.71,,,,,,,,,,,
6,1.33,1.76,,,,,,,,,,,
7,1.47,1.88,,,,,,,,,,,
8,1.59,1.95,,,,,,,,,,,
9,1.65,2.06,2.11,,,,,,,,,,
10,1.74,2.16,2.2,,,,,,,,,,
11,1.81,2.26,2.29,,,,,,,,,,
12,1.91,2.29,2.34,,,,,,,,,,
13,1.93,2.37,2.41,,,,,,,,,,
14,2.03,2.4195,2.49,,,,,,,,,,
15,2.0695,2.5,2.53,,,,,,,,,,
16,2.11,2.56,2.58,2.56,,,,,,,,,
17,2.17,2.62,2.66,2.64,,,,,,,,,
18,2.2,2.62,2.73,2.68,,,,,,,,,
19,2.21,2.64,2.75,2.73,,,,,,,,,
20,2.24,2.7,2.77,2.78,,,,,,,,,
21,2.2695000000000003,2.72,2.82,2.82,,,,,,,,,
22,2.3,2.75,2.86,2.83,,,,,,,,,
23,2.3395,2.78,2.88,2.88,,,,,,,,,
24,2.35,2.8,2.91,2.92,,,,,,,,,
25,2.37,2.84,2.92,2.95,2.91,,,,,,,,
26,2.39,2.85,2.96,2.96,2.95,,,,,,,,
27,2.41,2.87,2.99,2.99,2.99,,,,,,,,
28,2.41,2.88,3.01,3.03,3.0,,,,,,,,
29,2.43,2.91,3.0295,3.06,3.04,,,,,,,,
30,2.47,2.92,3.05,3.06,3.05,,,,,,,,
31,2.46,2.94,3.06,3.1,3.06,,,,,,,,
32,2.48,2.96,3.1,3.11,3.08,,,,,,,,
33,2.5,2.98,3.1,3.14,3.12,,,,,,,,
34,2.51,2.9995000000000003,3.12,3.15,3.14,,,,,,,,
35,2.53,3.01,3.14,3.15,3.17,,,,,,,,
36,2.5395000000000003,3.0,3.16,3.18,3.16,3.15,,,,,,,
37,2.5395000000000003,3.03,3.16,3.19,3.2,3.17,,,,,,,
38,2.56,3.03,3.18,3.22,3.21,3.18,,,,,,,
39,2.57,3.05,3.18,3.22,3.22,3.21,,,,,,,
40,2.56,3.07,3.2,3.23,3.24,3.23,,,,,,,
41,2.58,3.06,3.21,3.25,3.26,3.24,,,,,,,
42,2.6,3.08,3.21,3.26,3.27,3.25,,,,,,,
43,,3.08,3.23,3.27,3.28,3.27,,,,,,,
44,,,3.24,3.29,3.3,3.28,,,,,,,
45,,,3.25,3.3,3.3,3.29,,,,,,,
46,,,3.2595,3.31,3.32,3.31,,,,,,,
47,,,3.27,3.31,3.33,3.32,,,,,,,
48,,,3.27,3.34,3.35,3.34,,,,,,,
49,,,,3.33,3.35,3.34,3.33,,,,,,
50,,,,3.34,3.37,3.35,3.34,,,,,,
51,,,,3.35,3.37,3.37,3.34,,,,,,
52,,,,3.36,3.39,3.38,3.35,,,,,,
53,,,,3.37,3.4,3.39,3.37,,,,,,
54,,,,3.37,3.41,3.39,3.39,,,,,,
55,,,,3.38,3.41,3.41,3.4,,,,,,
56,,,,,3.42,3.41,3.4,,,,,,
57,,,,,3.42,3.42,3.41,,,,,,
58,,,,,3.43,3.44,3.43,,,,,,
59,,,,,3.44,3.44,3.43,,,,,,
60,,,,,3.44,3.44,3.44,,,,,,
61,,,,,3.46,3.46,3.44,,,,,,
62,,,,,3.46,3.46,3.46,,,,,,
63,,,,,3.46,3.47,3.46,,,,,,
64,,,,,3.46,3.47,3.47,3.45,,,,,
65,,,,,,3.49,3.48,3.47,,,,,
66,,,,,,3.49,3.48,3.47,,,,,
67,,,,,,3.49,3.49,3.48,,,,,
68,,,,,,3.51,3.49,3.48,,,,,
69,,,,,,3.5,3.51,3.49,,,,,
70,,,,,,3.51,3.51,3.5,,,,,
71,,,,,,3.51,3.52,3.5,,,,,
72,,,,,,3.52,3.51,3.51,,,,,
73,,,,,,3.53,3.53,3.53,,,,,
74,,,,,,3.53,3.53,3.53,,,,,
75,,,,,,3.54,3.54,3.5295,,,,,
76,,,,,,,3.55,3.54,,,,,
77,,,,,,,3.55,3.54,,,,,
