n,1,2,3,4,5
3,0.0816,,,,
4,0.0972,,,,
5,0.1228,0.1866,,,
6,0.1548,0.2076,,,
7,0.2064,0.2748,0.2998,,
8,0.2348,0.3118,0.3516,,
9,0.2798,0.37,0.4072,,
10,0.321,0.425,0.4496,,
11,0.344,0.4722,0.5134,,
12,0.4054,0.5194,0.5714,,
13,0.4298,0.5676,0.6168,,
14,0.475,0.6156,0.6628,,
15,0.5074,0.6748,0.6748,,
16,0.544,0.7076,0.7214,0.7386,
17,0.5864,0.7248,0.7594,0.7638,
18,0.6132,0.762,0.7764,0.8004,
19,0.6466,0.779,0.8202,0.8226,
20,0.6698,0.8074,0.8434,0.8404,
21,,0.8332,0.8562,0.8648,
22,,0.8464,0.8778,0.8856,
23,,0.863,0.898,0.9076,
24,,0.891,0.9098,0.9204,
25,,0.9012,0.9256,0.9312,0.9346
26,,0.9092,0.9358,0.9392,0.9476
27,,0.9216,0.9402,0.9528,0.955
28,,0.937,0.9558,0.9566,0.961
29,,0.941,0.965,0.9686,0.9678
30,,0.9478,0.9688,0.976,0.9762
31,,0.958,0.9742,0.9714,0.9776
32,,0.9658,0.9746,0.9804,0.98
33,,0.9666,0.978,0.9814,0.9862
34,,0.972,0.9854,0.9868,0.989
35,,0.9752,0.9848,0.9886,0.9898
36,,,0.9876,0.9892,0.991
37,,,0.987,0.9922,0.9892
38,,,0.9922,0.9936,0.995
39,,,0.9924,0.9956,0.9972
40,,,0.9948,0.9958,0.9966
41,,,0.995,0.9974,0.9968
42,,,0.9968,0.9982,0.9966
43,,,0.997,0.9976,0.9984
44,,,0.9974,0.9974,0.9984
45,,,0.9972,0.9994,0.9982
46,,,0.9982,0.9988,0.9984
47,,,0.9986,0.999,0.9998
48,,,0.9986,0.999,0.9996
49,,,0.998,0.999,0.9994
50,,,0.9998,0.9994,0.999
